,url_link,title,hot,date
175,https://www.ptt.cc/bbs/KoreaDrama/M.1616071041.A.A80.html,[LIVE] Mouse EP6,爆,03/18
176,https://www.ptt.cc/bbs/KoreaDrama/M.1615808848.A.75D.html,[LIVE] KBS 月升之江 EP9、EP10,爆,03/15
177,https://www.ptt.cc/bbs/KoreaDrama/M.1615554351.A.F90.html,[LIVE] 怪物 EP7,爆,03/12
178,https://www.ptt.cc/bbs/KoreaDrama/M.1615635798.A.206.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP7,爆,03/13
179,https://www.ptt.cc/bbs/KoreaDrama/M.1615638780.A.E09.html,[LIVE] SBS Penthouse/上流戰爭 S2 EP08,爆,03/13
180,https://www.ptt.cc/bbs/KoreaDrama/M.1615641120.A.E55.html,[LIVE] 怪物 EP8,爆,03/13
181,https://www.ptt.cc/bbs/KoreaDrama/M.1615720419.A.AB4.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP8,爆,03/14
182,https://www.ptt.cc/bbs/KoreaDrama/M.1615375731.A.D0F.html,[閒聊] JTBC《薛西弗斯的神話》EP07-08（雷）,爆,03/10
183,https://www.ptt.cc/bbs/KoreaDrama/M.1615379834.A.7D8.html,[LIVE] Mouse EP3,爆,03/10
184,https://www.ptt.cc/bbs/KoreaDrama/M.1615548111.A.845.html,[閒聊] 喜歡的話請響鈴 第二季,爆,03/12
185,https://www.ptt.cc/bbs/KoreaDrama/M.1615551568.A.DCC.html,[LIVE] SBS Penthouse/上流戰爭 S2 EP07,爆,03/12
186,https://www.ptt.cc/bbs/KoreaDrama/M.1615115841.A.3AC.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP6,爆,03/07
187,https://www.ptt.cc/bbs/KoreaDrama/M.1615204625.A.3EF.html,[LIVE] JTBC 前輩，那支口紅不要塗 EP15-EP16完結,爆,03/08
188,https://www.ptt.cc/bbs/KoreaDrama/M.1615204642.A.29E.html,[LIVE] KBS 月升之江 EP7、EP8,爆,03/08
189,https://www.ptt.cc/bbs/KoreaDrama/M.1615289638.A.3AC.html,[LIVE] L.U.C.A:The beginning EP12 最終回,爆,03/09
190,https://www.ptt.cc/bbs/KoreaDrama/M.1614908508.A.15B.html,[新聞] 羅人友確定接替志洙演出《月升之江》 (+,爆,03/05
191,https://www.ptt.cc/bbs/KoreaDrama/M.1614927561.A.780.html,[LIVE] 哲仁王后:演員劇評 (雷),爆,03/05
192,https://www.ptt.cc/bbs/KoreaDrama/M.1614946078.A.01E.html,[LIVE] SBS Penthouse/上流戰爭 S2 EP05,爆,03/05
193,https://www.ptt.cc/bbs/KoreaDrama/M.1614949535.A.892.html,[LIVE] 怪物 EP5,爆,03/05
194,https://www.ptt.cc/bbs/KoreaDrama/M.1615029742.A.9B3.html,[LIVE] tvN Vincenzo/黑道律師文森佐 EP5,爆,03/06
195,https://www.ptt.cc/bbs/KoreaDrama/M.1615032457.A.A73.html,[LIVE] SBS Penthouse/上流戰爭 S2 EP06,爆,03/06
